id;email;phone;created_at;updated_at
1;Sylvan.Bayer85@yahoo.com;1-485-645-7854;2020-03-06T20:44:51;2020-03-06T04:44:37
2;Stone.Nienow@hotmail.com;492.679.5407;2020-03-06T11:36:32;2020-03-06T22:50:09
3;Zoey59@hotmail.com;(342) 994-8754 x83010;2020-03-06T09:05:53;2020-03-06T13:45:04
4;Betty.Boyer28@gmail.com;036-093-0218;2020-03-06T18:05:09;2020-03-07T00:10:58
5;Berniece.Hane70@yahoo.com;824-937-3176;2020-03-06T22:51:37;2020-03-06T07:59:09
6;Terrill_Mayer@hotmail.com;(456) 630-4039;2020-03-07T00:00:28;2020-03-06T06:04:02
7;Jana99@hotmail.com;435.868.0432 x46119;2020-03-06T17:40:45;2020-03-06T08:26:13
8;Judson.Daugherty@hotmail.com;869.229.8123 x8042;2020-03-06T14:46:45;2020-03-06T06:19:58
9;Dandre.Waters@yahoo.com;453.866.2705 x425;2020-03-06T08:24:30;2020-03-06T04:04:10
10;Alexandria_Zieme@gmail.com;023-122-4606;2020-03-06T06:25:30;2020-03-06T23:06:03
